,lables
15130,9
15131,2
15132,0
15133,6
15134,1
15135,5
15136,2
15137,1
15138,3
15139,5
15140,4
15141,0
15142,5
15143,5
15144,6
15145,9
15146,7
15147,1
15148,8
15149,0
15150,9
15151,1
15152,2
15153,1
15154,5
15155,0
15156,1
15157,8
15158,6
15159,0
15160,4
15161,9
15162,3
15163,1
15164,9
15165,6
15166,9
15167,7
15168,0
15169,9
15170,9
15171,7
15172,7
15173,3
15174,1
15175,3
15176,6
15177,5
15178,4
15179,4
15180,3
15181,1
15182,6
15183,4
15184,2
15185,3
15186,2
15187,6
15188,0
15189,6
15190,0
15191,7
15192,5
15193,9
15194,9
15195,6
15196,5
15197,0
15198,7
15199,7
15200,3
15201,7
15202,2
15203,7
15204,2
15205,5
15206,4
15207,0
15208,7
15209,3
15210,6
15211,9
15212,7
15213,4
15214,7
15215,3
15216,2
15217,4
15218,8
15219,6
15220,8
15221,9
15222,2
15223,1
15224,8
15225,3
15226,3
15227,2
15228,7
15229,7
15230,1
15231,5
15232,3
15233,6
15234,9
15235,8
15236,0
15237,5
15238,9
15239,1
15240,1
15241,0
15242,7
15243,9
15244,3
15245,3
15246,8
15247,8
15248,0
15249,3
15250,3
15251,1
15252,9
15253,7
15254,1
15255,7
15256,6
15257,8
15258,4
15259,7
15260,3
15261,2
15262,2
15263,1
15264,1
15265,1
15266,8
15267,9
15268,6
15269,2
15270,1
15271,2
15272,5
15273,4
15274,0
15275,7
15276,1
15277,2
15278,2
15279,6
15280,3
15281,8
15282,4
15283,5
15284,5
15285,8
15286,6
15287,0
15288,8
15289,1
15290,0
15291,3
15292,1
15293,4
15294,2
15295,2
15296,3
15297,4
15298,4
15299,1
15300,5
15301,9
15302,6
15303,5
15304,7
15305,5
15306,8
15307,1
15308,9
15309,4
15310,0
15311,9
15312,4
15313,6
15314,5
15315,1
15316,6
15317,0
15318,7
15319,6
15320,8
15321,3
15322,9
15323,6
15324,0
15325,9
15326,7
15327,2
15328,0
15329,0
15330,7
15331,3
15332,8
15333,6
15334,3
15335,3
15336,5
15337,6
15338,3
15339,7
15340,8
15341,3
15342,8
15343,0
15344,1
15345,3
15346,4
15347,6
15348,9
15349,3
15350,6
15351,4
15352,1
15353,9
15354,8
15355,1
15356,9
15357,5
15358,4
15359,9
15360,1
15361,5
15362,2
15363,8
15364,5
15365,8
15366,9
15367,2
15368,9
15369,6
15370,5
15371,3
15372,4
15373,5
15374,3
15375,4
15376,3
15377,5
15378,3
15379,1
15380,9
15381,0
15382,0
15383,6
15384,1
15385,6
15386,9
15387,3
15388,1
15389,5
15390,2
15391,1
15392,7
15393,4
15394,9
15395,1
15396,1
15397,5
15398,0
15399,4
15400,6
15401,5
15402,2
15403,6
15404,4
15405,8
15406,0
15407,8
15408,3
15409,7
15410,8
15411,3
15412,9
15413,9
15414,5
15415,4
15416,6
15417,2
15418,6
15419,4
15420,5
15421,7
15422,1
15423,8
15424,7
15425,4
15426,1
15427,1
15428,4
15429,8
15430,6
15431,4
15432,9
15433,2
15434,1
15435,8
15436,3
15437,1
15438,1
15439,2
15440,6
15441,0
15442,3
15443,5
15444,0
15445,9
15446,6
15447,6
15448,7
15449,6
15450,1
15451,7
15452,3
15453,0
15454,8
15455,4
15456,2
15457,8
15458,6
15459,7
15460,2
15461,5
15462,6
15463,5
15464,7
15465,2
15466,8
15467,7
15468,7
15469,2
15470,0
15471,3
15472,1
15473,3
15474,2
15475,2
15476,3
15477,6
15478,4
15479,0
15480,5
15481,3
15482,6
15483,6
15484,7
15485,3
15486,8
15487,5
15488,9
15489,7
15490,0
15491,0
15492,1
15493,7
15494,2
15495,3
15496,3
15497,9
15498,7
15499,6
15500,8
15501,8
15502,9
15503,0
15504,0
15505,2
15506,1
15507,0
15508,2
15509,2
15510,3
15511,9
15512,7
15513,4
15514,8
15515,0
15516,9
15517,7
15518,3
15519,0
15520,4
15521,8
15522,1
15523,0
15524,4
15525,6
15526,6
15527,5
15528,6
15529,0
15530,7
15531,8
15532,3
15533,3
15534,3
15535,1
15536,2
15537,5
15538,1
15539,3
15540,9
15541,0
15542,4
15543,3
15544,7
15545,8
15546,3
15547,1
15548,5
15549,1
15550,4
15551,5
15552,9
15553,7
15554,1
15555,4
15556,1
15557,5
15558,0
15559,9
15560,1
15561,9
15562,4
15563,0
15564,6
15565,0
15566,0
15567,4
15568,2
15569,7
15570,5
15571,3
15572,2
15573,1
15574,1
15575,4
15576,7
15577,1
15578,5
15579,0
15580,0
15581,0
15582,0
15583,9
15584,2
15585,7
15586,3
15587,2
15588,7
15589,0
15590,6
15591,9
15592,9
15593,5
15594,8
15595,2
15596,7
15597,8
15598,8
15599,0
15600,9
15601,9
15602,2
15603,4
15604,2
15605,3
15606,9
15607,1
15608,9
15609,8
15610,5
15611,1
15612,4
15613,2
15614,4
15615,8
15616,4
15617,2
15618,0
15619,6
15620,0
15621,4
15622,8
15623,8
15624,6
15625,8
15626,6
15627,0
15628,8
15629,3
15630,5
15631,1
15632,1
15633,6
15634,7
15635,8
15636,0
15637,6
15638,3
15639,8
15640,6
15641,2
15642,7
15643,9
15644,8
15645,7
15646,3
15647,0
15648,1
15649,2
15650,3
15651,6
15652,9
15653,9
15654,5
15655,3
15656,9
15657,9
15658,9
15659,2
15660,5
15661,0
15662,0
15663,8
15664,4
15665,9
15666,3
15667,4
15668,1
15669,9
15670,7
15671,6
15672,6
15673,6
15674,0
15675,5
15676,1
15677,8
15678,2
15679,2
15680,3
15681,4
15682,4
15683,1
15684,5
15685,4
15686,6
15687,2
15688,7
15689,7
15690,8
15691,0
15692,9
15693,0
15694,0
15695,1
15696,1
15697,5
15698,2
15699,0
15700,3
15701,5
15702,4
15703,0
15704,7
15705,6
15706,8
15707,6
15708,9
15709,1
15710,0
15711,2
15712,1
15713,6
15714,2
15715,1
15716,3
15717,7
15718,4
15719,5
15720,7
15721,1
15722,8
15723,8
15724,9
15725,5
15726,6
15727,9
15728,4
15729,1
15730,2
15731,5
15732,6
15733,0
15734,4
15735,2
15736,7
15737,8
15738,8
15739,7
15740,9
15741,5
15742,3
15743,6
15744,9
15745,9
15746,3
15747,2
15748,8
15749,7
15750,2
15751,4
15752,0
15753,7
15754,9
15755,6
15756,8
15757,1
15758,0
15759,3
15760,0
15761,3
15762,1
15763,3
15764,0
15765,8
15766,5
15767,5
15768,3
15769,0
15770,5
15771,8
15772,3
15773,3
15774,8
15775,1
15776,0
15777,5
15778,0
15779,6
15780,5
15781,8
15782,4
15783,4
15784,3
15785,1
15786,4
15787,6
15788,1
15789,1
15790,5
15791,7
15792,3
15793,5
15794,0
15795,2
15796,6
15797,0
15798,2
15799,5
15800,7
15801,2
15802,1
15803,5
15804,1
15805,6
15806,8
15807,7
15808,1
15809,5
15810,7
15811,5
15812,1
15813,0
15814,3
15815,3
15816,8
15817,7
15818,5
15819,8
15820,4
15821,4
15822,2
15823,7
15824,0
15825,6
15826,9
15827,0
15828,2
15829,5
15830,6
15831,9
15832,7
15833,5
15834,1
15835,2
15836,9
15837,1
15838,6
15839,4
15840,4
15841,3
15842,6
15843,9
15844,2
15845,2
15846,3
15847,3
15848,7
15849,3
15850,1
15851,4
15852,2
15853,0
15854,5
15855,7
15856,3
15857,9
15858,7
15859,9
15860,8
15861,6
15862,0
15863,0
15864,1
15865,4
15866,2
15867,0
15868,3
15869,6
15870,4
15871,3
15872,5
15873,5
15874,6
15875,4
15876,7
15877,1
15878,8
15879,5
15880,9
15881,0
15882,0
15883,5
15884,1
15885,5
15886,2
15887,1
15888,3
15889,0
15890,4
15891,5
15892,5
15893,9
15894,7
15895,6
15896,8
15897,1
15898,9
15899,7
15900,0
15901,2
15902,1
15903,0
15904,2
15905,7
15906,3
15907,6
15908,7
15909,0
15910,8
15911,9
15912,9
15913,6
15914,5
15915,4
15916,2
15917,5
15918,8
15919,1
15920,1
15921,7
15922,7
15923,6
15924,2
15925,0
15926,4
15927,0
15928,1
15929,3
15930,4
15931,7
15932,1
15933,0
15934,8
15935,3
15936,3
15937,3
15938,7
15939,1
15940,8
15941,4
15942,4
15943,9
15944,3
15945,0
15946,3
15947,2
15948,5
15949,8
15950,6
15951,7
15952,7
15953,7
15954,0
15955,8
15956,6
15957,2
15958,1
15959,6
15960,6
15961,1
15962,8
15963,1
15964,0
15965,2
15966,1
15967,3
15968,5
15969,9
15970,0
15971,9
15972,8
15973,1
15974,5
15975,7
15976,1
15977,6
15978,8
15979,3
15980,4
15981,2
15982,7
15983,5
15984,6
15985,3
15986,9
15987,8
15988,1
15989,3
15990,9
15991,0
15992,0
15993,2
15994,6
15995,5
15996,7
15997,7
15998,1
15999,8
16000,2
16001,6
16002,3
16003,7
16004,9
16005,9
16006,2
16007,9
16008,4
16009,5
16010,5
16011,1
16012,3
16013,1
16014,7
16015,7
16016,5
16017,2
16018,3
16019,9
16020,1
16021,8
16022,8
16023,2
16024,2
16025,8
16026,2
16027,5
16028,3
16029,2
16030,0
16031,6
16032,2
16033,9
16034,9
16035,8
16036,4
16037,5
16038,9
16039,8
16040,7
16041,8
16042,0
16043,8
16044,0
16045,2
16046,2
16047,4
16048,7
16049,1
16050,4
16051,7
16052,9
16053,6
16054,9
16055,6
16056,2
16057,2
16058,8
16059,2
16060,1
16061,1
16062,5
16063,6
16064,6
16065,8
16066,9
16067,4
16068,8
16069,6
16070,3
16071,5
16072,8
16073,3
16074,3
16075,1
16076,6
16077,3
16078,7
16079,1
16080,0
16081,9
16082,0
16083,5
16084,0
16085,1
16086,1
16087,6
16088,2
16089,9
16090,3
16091,5
16092,4
16093,4
16094,5
16095,3
16096,6
16097,4
16098,7
16099,7
16100,8
16101,6
16102,9
16103,2
16104,0
16105,9
16106,1
16107,2
16108,2
16109,1
16110,3
16111,5
16112,7
16113,8
16114,8
16115,5
16116,9
16117,6
16118,0
16119,5
16120,1
16121,0
16122,2
16123,2
16124,3
16125,5
16126,4
16127,8
16128,5
16129,1
16130,6
16131,9
16132,7
16133,3
16134,8
16135,0
16136,9
16137,7
16138,0
16139,2
16140,8
16141,2
16142,7
16143,0
16144,8
16145,2
16146,9
16147,1
16148,9
16149,7
16150,0
16151,9
16152,1
16153,8
16154,4
16155,3
16156,5
16157,8
16158,1
16159,6
16160,6
16161,7
16162,0
16163,5
16164,5
16165,2
16166,6
16167,4
16168,7
16169,9
16170,3
16171,8
16172,9
16173,5
16174,9
16175,2
16176,3
16177,0
16178,8
16179,4
16180,1
16181,8
16182,2
16183,8
16184,9
16185,7
16186,6
16187,6
16188,7
16189,3
16190,3
16191,0
16192,3
16193,7
16194,4
16195,2
16196,7
16197,2
16198,7
16199,2
16200,9
16201,0
16202,1
16203,1
16204,7
16205,4
16206,6
16207,3
16208,2
16209,5
16210,1
16211,7
16212,5
16213,4
16214,5
16215,4
16216,0
16217,1
16218,5
16219,3
16220,0
16221,1
16222,8
16223,1
16224,4
16225,7
16226,0
16227,1
16228,3
16229,8
16230,8
16231,8
16232,1
16233,1
16234,2
16235,1
16236,2
16237,0
16238,3
16239,7
16240,1
16241,5
16242,3
16243,0
16244,6
16245,8
16246,7
16247,7
16248,3
16249,9
16250,4
16251,8
16252,9
16253,1
16254,6
16255,9
16256,5
16257,6
16258,1
16259,3
16260,9
16261,1
16262,8
16263,7
16264,1
16265,8
16266,1
16267,5
16268,2
16269,9
16270,7
16271,7
16272,6
16273,8
16274,8
16275,5
16276,8
16277,1
16278,4
16279,9
16280,2
16281,8
16282,2
16283,8
16284,0
16285,0
16286,1
16287,7
16288,2
16289,4
16290,3
16291,1
16292,4
16293,2
16294,5
16295,3
16296,6
16297,2
16298,7
16299,1
16300,8
16301,4
16302,9
16303,7
16304,0
16305,0
16306,1
16307,1
16308,2
16309,5
16310,3
16311,4
16312,4
16313,4
16314,5
16315,7
16316,6
16317,0
16318,7
16319,2
16320,8
16321,8
16322,0
16323,7
16324,1
16325,0
16326,2
16327,2
16328,3
16329,9
16330,4
16331,6
16332,5
16333,1
16334,6
16335,3
16336,7
16337,4
16338,8
16339,8
16340,9
16341,9
16342,7
16343,3
16344,1
16345,6
16346,5
16347,1
16348,6
16349,9
16350,2
16351,0
16352,5
16353,0
16354,0
16355,5
16356,5
16357,5
16358,4
16359,9
16360,2
16361,1
16362,0
16363,5
16364,8
16365,3
16366,1
16367,1
16368,7
16369,3
16370,1
16371,3
16372,8
16373,5
16374,3
16375,1
16376,8
16377,6
16378,7
16379,5
16380,1
16381,8
16382,7
16383,5
16384,1
16385,3
16386,4
16387,9
16388,4
16389,2
16390,4
16391,1
16392,5
16393,7
16394,7
16395,0
16396,4
16397,8
16398,4
16399,5
16400,7
16401,0
16402,2
16403,2
16404,5
16405,5
16406,3
16407,2
16408,9
16409,6
16410,3
16411,0
16412,9
16413,3
16414,0
16415,8
16416,8
16417,1
16418,7
16419,7
16420,9
16421,9
16422,0
16423,5
16424,6
16425,5
16426,3
16427,0
16428,0
16429,6
16430,4
16431,8
16432,6
16433,4
16434,3
16435,6
16436,7
16437,4
16438,0
16439,8
16440,1
16441,5
16442,4
16443,9
16444,8
16445,5
16446,1
16447,4
16448,2
16449,4
16450,9
16451,6
16452,3
16453,7
16454,1
16455,2
16456,8
16457,1
16458,4
16459,0
16460,2
16461,3
16462,9
16463,4
16464,8
16465,4
16466,8
16467,1
16468,6
16469,9
16470,5
16471,2
16472,2
16473,0
16474,1
16475,9
16476,9
16477,7
16478,2
16479,9
16480,9
16481,2
16482,1
16483,0
16484,0
16485,8
16486,5
16487,9
16488,3
16489,5
16490,3
16491,3
16492,6
16493,5
16494,1
16495,7
16496,2
16497,0
16498,5
16499,8
16500,0
16501,3
16502,3
16503,3
16504,7
16505,6
16506,6
16507,1
16508,1
16509,3
16510,5
16511,3
16512,5
16513,7
16514,9
16515,0
16516,8
16517,0
16518,0
16519,0
16520,9
16521,9
16522,0
16523,7
16524,1
16525,4
16526,2
16527,7
16528,3
16529,3
16530,4
16531,2
16532,5
16533,6
16534,6
16535,1
16536,7
16537,6
16538,8
16539,0
16540,9
16541,4
16542,0
16543,2
16544,1
16545,1
16546,2
16547,7
16548,3
16549,6
16550,4
16551,8
16552,5
16553,8
16554,6
16555,3
16556,7
16557,5
16558,8
16559,6
16560,9
16561,1
16562,0
16563,3
16564,1
16565,4
16566,2
16567,9
16568,3
16569,9
16570,4
16571,4
16572,5
16573,5
16574,6
16575,2
16576,7
16577,4
16578,8
16579,9
16580,9
16581,5
16582,6
16583,3
16584,0
16585,5
16586,3
16587,9
16588,4
16589,6
16590,1
16591,5
16592,4
16593,7
16594,0
16595,7
16596,8
16597,0
16598,6
16599,4
16600,4
16601,9
16602,5
16603,6
16604,4
16605,0
16606,0
16607,1
16608,7
16609,1
16610,8
16611,4
16612,7
16613,1
16614,7
16615,6
16616,9
16617,0
16618,0
16619,3
16620,9
16621,9
16622,7
16623,8
16624,4
16625,3
16626,2
16627,9
16628,5
16629,7
16630,8
16631,6
16632,5
16633,0
16634,9
16635,1
16636,8
16637,2
16638,8
16639,0
16640,7
16641,0
16642,1
16643,7
16644,3
16645,5
16646,5
16647,6
16648,3
16649,2
16650,1
16651,4
16652,6
16653,2
16654,5
16655,1
16656,3
16657,8
16658,8
16659,1
16660,7
16661,2
16662,3
16663,2
16664,1
16665,6
16666,6
16667,6
16668,8
16669,1
16670,5
16671,7
16672,9
16673,1
16674,2
16675,3
16676,2
16677,3
16678,0
16679,4
16680,9
16681,5
16682,2
16683,6
16684,4
16685,1
16686,7
16687,8
16688,3
16689,2
16690,1
16691,5
16692,3
16693,1
16694,6
16695,7
16696,2
16697,5
16698,1
16699,7
16700,2
16701,9
16702,6
16703,9
16704,0
16705,4
16706,2
16707,3
16708,2
16709,7
16710,7
16711,7
16712,1
16713,1
16714,3
16715,2
16716,7
16717,1
16718,4
16719,1
16720,7
16721,1
16722,4
16723,8
16724,8
16725,6
16726,9
16727,6
16728,2
16729,8
16730,9
16731,3
16732,5
16733,9
16734,1
16735,6
16736,5
16737,4
16738,6
16739,9
16740,8
16741,1
16742,3
16743,2
16744,5
16745,6
16746,6
16747,3
16748,0
16749,8
16750,9
16751,8
16752,9
16753,2
16754,3
16755,7
16756,1
16757,0
16758,1
16759,2
16760,0
16761,8
16762,3
16763,3
16764,4
16765,6
16766,5
16767,6
16768,6
16769,9
16770,7
16771,2
16772,8
16773,3
16774,9
16775,9
16776,0
16777,9
16778,1
16779,5
16780,2
16781,6
16782,3
16783,5
16784,8
16785,6
16786,0
16787,6
16788,1
16789,8
16790,2
16791,6
16792,3
16793,2
16794,7
16795,6
16796,8
16797,8
16798,9
16799,7
16800,9
16801,4
16802,0
16803,9
16804,1
16805,9
16806,4
16807,9
16808,7
16809,2
16810,3
16811,2
16812,2
16813,9
16814,9
16815,9
16816,0
16817,4
16818,5
16819,8
16820,6
16821,6
16822,7
16823,8
16824,3
16825,8
16826,9
16827,8
16828,9
16829,6
16830,3
16831,5
16832,8
16833,5
16834,1
16835,7
16836,2
16837,1
16838,9
16839,7
16840,6
16841,7
16842,7
16843,5
16844,5
16845,9
16846,6
16847,7
16848,3
16849,4
16850,4
16851,7
16852,9
16853,9
16854,1
16855,4
16856,2
16857,2
16858,9
16859,8
16860,3
16861,5
16862,4
16863,8
16864,4
16865,0
16866,3
16867,0
16868,1
16869,8
16870,7
16871,1
16872,3
16873,4
16874,4
16875,1
16876,9
16877,9
16878,6
16879,8
16880,9
16881,7
16882,8
16883,9
16884,1
16885,4
16886,1
16887,0
16888,6
16889,6
16890,6
16891,3
16892,8
16893,6
16894,2
16895,6
16896,8
16897,6
16898,4
16899,3
16900,8
16901,2
16902,0
16903,1
16904,0
16905,1
16906,1
16907,5
16908,2
16909,5
16910,3
16911,4
16912,4
16913,1
16914,7
16915,2
16916,8
16917,9
16918,9
16919,8
16920,0
16921,3
16922,1
16923,3
16924,2
16925,5
16926,3
16927,0
16928,4
16929,1
16930,5
16931,1
16932,6
16933,9
16934,7
16935,6
16936,8
16937,1
16938,9
16939,3
16940,0
16941,4
16942,1
16943,1
16944,3
16945,1
16946,4
16947,2
16948,7
16949,1
16950,8
16951,2
16952,9
16953,3
16954,8
16955,5
16956,6
16957,2
16958,5
16959,1
16960,0
16961,7
16962,6
16963,8
16964,8
16965,7
16966,9
16967,9
16968,4
16969,7
16970,1
16971,8
16972,9
16973,8
16974,0
16975,6
16976,4
16977,7
16978,8
16979,5
16980,9
16981,4
16982,1
16983,7
16984,4
16985,7
16986,0
16987,1
16988,2
16989,7
16990,1
16991,9
16992,5
16993,8
16994,4
16995,4
16996,0
16997,6
16998,7
16999,3
17000,6
17001,9
17002,0
17003,6
17004,1
17005,5
17006,7
17007,6
17008,0
17009,3
17010,6
17011,1
17012,8
17013,6
17014,4
17015,5
17016,7
17017,4
17018,9
17019,4
17020,8
17021,1
17022,6
17023,5
17024,0
17025,3
17026,8
17027,1
17028,1
17029,1
17030,7
17031,1
17032,7
17033,6
17034,1
17035,8
17036,3
17037,3
17038,2
17039,3
17040,3
17041,1
17042,1
17043,7
17044,4
17045,2
17046,2
17047,0
17048,0
17049,0
17050,0
17051,2
17052,7
17053,7
17054,8
17055,8
17056,4
17057,1
17058,6
17059,8
17060,9
17061,3
17062,3
17063,0
17064,8
17065,6
17066,4
17067,7
17068,7
17069,2
17070,2
17071,1
17072,5
17073,4
17074,6
17075,4
17076,3
17077,2
17078,6
17079,2
17080,9
17081,3
17082,6
17083,8
17084,3
17085,7
17086,2
17087,3
17088,2
17089,1
17090,4
17091,9
17092,6
17093,5
17094,0
17095,8
17096,5
17097,6
17098,5
17099,3
17100,1
17101,4
17102,3
17103,3
17104,3
17105,0
17106,9
17107,0
17108,7
17109,2
17110,8
17111,8
17112,7
17113,7
17114,2
17115,3
17116,7
17117,5
17118,9
17119,6
17120,8
17121,0
17122,2
17123,0
17124,1
17125,6
17126,3
17127,8
17128,1
17129,1
17130,3
17131,5
17132,0
17133,0
17134,1
17135,7
17136,2
17137,5
17138,3
17139,7
17140,4
17141,9
17142,7
17143,7
17144,8
17145,3
17146,9
17147,3
17148,0
17149,6
17150,1
17151,9
17152,2
17153,3
17154,3
17155,5
17156,4
17157,4
17158,5
17159,8
17160,6
17161,8
17162,7
17163,6
17164,8
17165,9
17166,9
17167,6
17168,0
17169,8
17170,1
17171,5
17172,2
17173,6
17174,3
17175,6
17176,7
17177,8
17178,8
17179,1
17180,9
17181,4
17182,7
17183,1
17184,7
17185,9
17186,0
17187,2
17188,3
17189,9
17190,1
17191,3
17192,8
17193,8
17194,9
17195,8
17196,8
17197,4
17198,6
17199,0
17200,5
17201,2
17202,4
17203,6
17204,7
17205,7
17206,3
17207,3
17208,1
17209,0
17210,9
17211,2
17212,1
17213,0
17214,4
17215,2
17216,5
17217,4
17218,5
17219,2
17220,6
17221,8
17222,0
17223,5
17224,1
17225,9
17226,3
17227,7
17228,6
17229,2
17230,4
17231,1
17232,8
17233,9
17234,9
17235,0
17236,8
17237,4
17238,5
17239,1
17240,2
17241,3
17242,1
17243,8
17244,0
17245,2
17246,5
17247,7
17248,6
17249,4
17250,6
17251,6
17252,3
17253,1
17254,3
17255,4
17256,3
17257,3
17258,1
17259,1
17260,7
17261,1
17262,2
17263,5
17264,2
17265,2
17266,7
17267,4
17268,2
17269,8
17270,3
17271,2
17272,6
17273,3
17274,8
17275,4
17276,5
17277,7
17278,1
17279,3
17280,4
17281,7
17282,9
17283,6
17284,0
17285,1
17286,6
17287,3
17288,8
17289,8
17290,8
17291,3
17292,0
17293,5
17294,3
17295,9
17296,9
17297,5
17298,4
17299,4
17300,3
17301,8
17302,7
17303,0
17304,1
17305,7
17306,7
17307,3
17308,6
17309,9
17310,9
17311,5
17312,4
17313,0
17314,2
17315,7
17316,9
17317,3
17318,9
17319,3
17320,4
17321,0
17322,9
17323,3
17324,4
17325,6
17326,0
17327,3
17328,7
17329,3
17330,1
17331,6
17332,3
17333,0
17334,0
17335,2
17336,1
17337,5
17338,2
17339,7
17340,3
17341,9
17342,7
17343,6
17344,8
17345,9
17346,9
17347,8
17348,0
17349,7
17350,1
17351,3
17352,2
17353,3
17354,3
17355,7
17356,4
17357,8
17358,7
17359,0
17360,8
17361,8
17362,9
17363,8
17364,0
17365,5
17366,1
17367,7
17368,2
17369,7
17370,3
17371,2
17372,7
17373,2
17374,8
17375,0
17376,9
17377,1
17378,0
17379,7
17380,0
17381,6
17382,7
17383,9
17384,5
17385,3
17386,5
17387,7
17388,3
17389,4
17390,7
17391,0
17392,8
17393,1
17394,6
17395,6
17396,6
17397,9
17398,4
17399,5
17400,6
17401,1
17402,3
17403,3
17404,8
17405,4
17406,8
17407,6
17408,3
17409,9
17410,0
17411,4
17412,1
17413,5
17414,4
17415,6
17416,4
17417,1
17418,7
17419,7
17420,3
17421,1
17422,1
17423,7
17424,1
17425,6
17426,9
17427,4
17428,1
17429,1
17430,2
17431,2
17432,1
17433,2
17434,3
17435,5
17436,9
17437,1
17438,2
17439,7
17440,7
17441,3
17442,7
17443,4
17444,9
17445,5
17446,9
17447,2
17448,0
17449,4
17450,4
17451,0
17452,5
17453,0
17454,9
17455,8
17456,1
17457,0
17458,1
17459,3
17460,5
17461,0
17462,9
17463,2
17464,1
17465,0
17466,3
17467,5
17468,4
17469,3
17470,3
17471,1
17472,1
17473,4
17474,9
17475,0
17476,1
17477,4
17478,0
17479,2
17480,7
17481,2
17482,7
17483,6
17484,0
17485,7
17486,1
17487,1
17488,2
17489,7
17490,3
17491,4
17492,4
17493,5
17494,5
17495,3
17496,7
17497,4
17498,8
17499,2
17500,9
17501,5
17502,0
17503,5
17504,1
17505,8
17506,2
17507,0
17508,3
17509,6
17510,4
17511,8
17512,7
17513,5
17514,8
17515,2
17516,9
17517,0
17518,0
17519,2
17520,3
17521,5
17522,4
17523,6
17524,7
17525,3
17526,8
17527,6
17528,9
17529,8
17530,9
17531,7
17532,7
17533,0
17534,0
17535,4
17536,9
17537,1
17538,0
17539,1
17540,1
17541,6
17542,5
17543,5
17544,8
17545,6
17546,8
17547,2
17548,0
17549,9
17550,9
17551,4
17552,3
17553,1
17554,2
17555,6
17556,7
17557,5
17558,8
17559,1
17560,4
17561,9
17562,6
17563,8
17564,4
17565,2
17566,5
17567,4
17568,3
17569,9
17570,9
17571,5
17572,4
17573,3
17574,3
17575,4
17576,4
17577,5
17578,2
17579,3
17580,0
17581,3
17582,5
17583,5
17584,0
17585,1
17586,1
17587,3
17588,6
17589,4
17590,9
17591,4
17592,3
17593,8
17594,2
17595,8
17596,9
17597,5
17598,1
17599,2
17600,6
17601,8
17602,0
17603,4
17604,1
17605,0
17606,1
17607,5
17608,8
17609,5
17610,0
17611,9
17612,4
17613,8
17614,7
17615,6
17616,7
17617,1
17618,6
17619,0
17620,3
17621,9
17622,6
17623,3
17624,0
17625,6
17626,1
17627,8
17628,3
17629,7
17630,5
17631,3
17632,4
17633,3
17634,2
17635,6
17636,1
17637,1
17638,1
17639,4
17640,8
17641,5
17642,3
17643,9
17644,5
17645,3
17646,6
17647,0
17648,7
17649,1
17650,5
17651,6
17652,2
17653,8
17654,0
17655,9
17656,6
17657,8
17658,7
17659,2
17660,1
17661,1
17662,2
17663,1
17664,5
17665,9
17666,8
17667,8
17668,1
17669,6
17670,9
17671,8
17672,3
17673,9
17674,8
17675,3
17676,2
17677,4
17678,8
17679,5
17680,8
17681,9
17682,7
17683,2
17684,1
17685,6
17686,7
17687,8
17688,9
17689,4
17690,2
17691,9
17692,0
17693,4
17694,1
17695,7
17696,2
17697,9
17698,3
17699,8
17700,4
17701,9
17702,7
17703,1
17704,8
17705,1
17706,9
17707,9
17708,0
17709,3
17710,1
17711,3
17712,2
17713,7
17714,3
17715,5
17716,4
17717,7
17718,7
17719,9
17720,8
17721,5
17722,9
17723,7
17724,0
17725,0
17726,1
17727,6
17728,2
17729,4
17730,3
17731,5
17732,4
17733,3
17734,7
17735,4
17736,9
17737,0
17738,5
17739,4
17740,0
17741,5
17742,8
17743,4
17744,3
17745,4
17746,5
17747,1
17748,4
17749,1
17750,8
17751,3
17752,3
17753,3
17754,0
17755,8
17756,2
17757,9
17758,1
17759,8
17760,0
17761,7
17762,2
17763,6
17764,8
17765,3
17766,4
17767,8
17768,4
17769,0
17770,1
17771,7
17772,6
17773,4
17774,1
17775,7
17776,3
17777,3
17778,0
17779,5
17780,3
17781,1
17782,6
17783,8
17784,9
17785,2
17786,3
17787,6
17788,7
17789,3
17790,4
17791,9
17792,9
17793,5
17794,7
17795,6
17796,0
17797,7
17798,9
17799,7
17800,4
17801,1
17802,8
17803,8
17804,2
17805,1
17806,7
17807,8
17808,7
17809,3
17810,5
17811,1
17812,7
17813,6
17814,1
17815,7
17816,9
17817,8
17818,5
17819,3
17820,2
17821,4
17822,4
17823,9
17824,8
17825,9
17826,9
17827,0
17828,6
17829,7
17830,9
17831,3
17832,7
17833,1
17834,6
17835,2
17836,4
17837,0
17838,1
17839,2
17840,2
17841,4
17842,6
17843,4
17844,1
17845,1
17846,1
17847,9
17848,7
17849,4
17850,2
17851,6
17852,3
17853,1
17854,6
17855,1
17856,4
17857,9
17858,8
17859,9
17860,9
17861,4
17862,6
17863,3
17864,4
17865,7
17866,6
17867,4
17868,5
17869,4
17870,0
17871,1
17872,2
17873,6
17874,1
17875,6
17876,0
17877,8
17878,5
17879,2
17880,0
17881,7
17882,1
17883,2
17884,1
17885,5
17886,7
17887,1
17888,8
17889,5
17890,4
17891,2
17892,3
17893,8
17894,2
17895,4
17896,7
17897,4
17898,9
17899,1
17900,3
17901,9
17902,9
17903,3
17904,0
17905,3
17906,1
17907,3
17908,2
17909,6
17910,3
17911,2
17912,4
17913,5
17914,5
17915,4
17916,7
17917,7
17918,8
17919,5
17920,9
17921,4
17922,0
17923,8
17924,1
17925,4
17926,2
17927,1
17928,3
